City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,al jawf,29.5,38.75,30.21,19,0,2.05,SA,1714386912
83,comodoro rivadavia,-45.8667,-67.5,11.92,47,0,4.12,AR,1714386912
84,pisco,-13.7,-76.2167,19.03,88,4,3.09,PE,1714386912
85,badger,64.8,-147.5333,1.93,63,20,2.06,US,1714386913
86,georgetown,5.4112,100.3354,32.97,62,20,2.57,MY,1714386802
87,tynda,55.1667,124.7167,3.78,69,98,1.29,RU,1714386913
88,tiksi,71.6872,128.8694,-16.29,100,36,1.79,RU,1714386914
89,klyuchi,52.2667,79.1667,14.67,69,94,7.36,RU,1714386914
90,tamandare,-8.7597,-35.1047,26.94,82,100,3.28,BR,1714386914
91,grand baie,-20.0182,57.5802,28.58,75,54,3.58,MU,1714386914
92,chibougamau,49.9168,-74.3659,-3.21,86,100,4.63,CA,1714386914
93,saacow,1.6279,42.4407,31.7,57,97,7.23,SO,1714386915
94,itaituba,-4.2761,-55.9836,24.18,96,63,0.69,BR,1714386915
95,colonia,50.9333,6.95,19.12,52,0,4.63,DE,1714386700
96,bethel,41.3712,-73.414,17.31,89,0,1.54,US,1714386915
97,saipan,15.1355,145.701,28.39,74,20,5.14,MP,1714386911
98,kailua-kona,19.6406,-155.9956,24.98,91,100,2.57,US,1714386915
99,dalby,-27.1833,151.2667,19.6,67,89,5.51,AU,1714386730
100,walvis bay,-22.9575,14.5053,28.53,39,0,3.6,NA,1714386916
101,khark,29.2614,50.3306,29.01,61,75,0.0,IR,1714386916
102,bilibino,68.0546,166.4372,-13.07,96,13,2.14,RU,1714386916
103,nar'yan-mar,67.6713,53.087,-3.27,85,83,5.81,RU,1714386917
104,touros,-5.1989,-35.4608,26.3,88,99,2.88,BR,1714386917
105,nicoya,10.1483,-85.452,25.44,88,95,0.81,CR,1714386917
106,prescott,34.54,-112.4685,8.61,48,0,0.45,US,1714386917
107,sungai penuh,-2.0833,101.3833,21.82,95,100,0.85,ID,1714386917
108,lucapa,-8.4192,20.7447,28.47,40,3,3.17,AO,1714386917
109,santiago de surco,-12.15,-77.0167,21.07,83,0,3.6,PE,1714386918
110,garoowe,8.4054,48.4845,32.03,46,96,1.25,SO,1714386918
111,hailey,43.5196,-114.3153,2.4,64,40,3.6,US,1714386918
112,chyorny yar,48.0624,46.1091,30.18,18,56,4.66,RU,1714386918
113,cooper's town,26.8667,-77.5167,22.7,66,86,8.27,BS,1714386918
114,ribeira brava,32.65,-17.0667,20.07,44,0,0.68,PT,1714386918
115,puerto ayacucho,5.6639,-67.6236,24.62,91,91,1.02,VE,1714386919
116,ilulissat,69.2167,-51.1,2.01,80,75,3.6,GL,1714386919
117,lerwick,60.1545,-1.1494,8.0,82,100,12.04,GB,1714386919
118,ribeira grande,38.5167,-28.7,17.22,59,75,3.09,PT,1714386837
119,togur,58.3631,82.8265,2.86,95,82,6.71,RU,1714386920
120,saint-philippe,-21.3585,55.7679,27.77,86,96,5.97,RE,1714386920
121,grambling,32.5276,-92.714,17.61,100,100,7.2,US,1714386920
122,muli,2.9167,73.5667,28.87,76,100,6.68,MV,1714386921
123,hithadhoo,-0.6,73.0833,26.97,81,100,5.93,MV,1714386921
124,buala,-8.145,159.5921,27.76,86,96,3.78,SB,1714386921
125,bertioga,-23.8544,-46.1386,23.9,89,89,0.41,BR,1714386922
126,katsuura,35.1333,140.3,19.72,83,100,6.2,JP,1714386887
127,vila franca do campo,37.7167,-25.4333,18.27,99,79,0.63,PT,1714386922
128,shingu,33.7333,135.9833,17.2,95,100,3.92,JP,1714386705
129,polyarnyy,69.1989,33.4478,0.59,97,87,1.26,RU,1714386922
130,nadym,65.5333,72.5167,-8.35,85,100,11.43,RU,1714386922
131,east london,-33.0153,27.9116,31.52,40,0,2.57,ZA,1714386922
132,dondo,-19.6094,34.7431,26.73,48,0,4.05,MZ,1714386923
133,tokar,18.4254,37.729,34.17,52,21,6.59,SD,1714386923
134,newnham,-41.3833,147.1333,8.15,65,5,2.06,AU,1714386923
135,burutu,5.3509,5.5076,33.53,57,98,3.93,NG,1714386924
136,pauini,-7.7136,-66.9764,22.99,98,86,0.49,BR,1714386924
137,as saffaniyah,27.9708,48.73,30.62,44,39,6.45,SA,1714386925
138,papatowai,-46.5619,169.4708,9.86,90,1,2.45,NZ,1714386925
139,forster,-32.1667,152.5167,16.27,100,58,2.77,AU,1714386384
140,zhuzhou,27.8333,113.15,21.07,95,100,1.18,CN,1714386925
141,terrasini,38.146,13.0844,27.48,35,0,9.26,IT,1714386925
142,saint gabriel,30.2577,-91.0993,22.97,92,100,0.0,US,1714386925
143,selfoss,63.9331,-20.9971,8.25,53,18,3.3,IS,1714386926
144,puerto escondido,15.85,-97.0667,25.58,83,9,2.3,MX,1714386926
145,avarua,-21.2078,-159.775,26.03,61,75,4.63,CK,1714386926
146,gamba,-2.65,10.0,31.16,69,92,4.02,GA,1714386926
147,stanley,54.868,-1.6985,11.96,73,40,5.14,GB,1714386926
148,puerto ayora,-0.7393,-90.3518,25.31,97,78,1.34,EC,1714386927
149,oakdale,44.963,-92.9649,6.95,95,100,4.02,US,1714386927
150,crane,31.3974,-102.3501,18.07,24,0,3.11,US,1714386927
